congress,chamber,icpsr,state_icpsr,district_code,state_abbrev,party_code,occupancy,last_means,bioname,bioguide_id,born,died,nominate_dim1,nominate_dim2,nominate_log_likelihood,nominate_geo_mean_probability,nominate_number_of_votes,nominate_number_of_errors,conditional,nokken_poole_dim1,nokken_poole_dim2
116,Senate,41705,41,0,AL,100,,,"JONES, Gordon Douglas (Doug)",J000300,1954,,-0.089,0.2,-54.30223,0.88561,447,23,,-0.078,0.272
116,Senate,94659,41,0,AL,200,,,"SHELBY, Richard C.",S000320,1934,,0.428,0.514,-33.84684,0.92921,461,17,,0.432,0.063
116,Senate,40300,81,0,AK,200,,,"MURKOWSKI, Lisa",M001153,1957,,0.21,-0.289,-27.70304,0.93802,433,7,,0.268,-0.399
116,Senate,41500,81,0,AK,200,,,"SULLIVAN, Daniel Scott",S001198,1964,,0.477,0.083,-34.579,0.92682,455,14,,0.497,0.049
116,Senate,21300,61,0,AZ,100,,,"SINEMA, Kyrsten",S001191,1976,,-0.102,0.059,-62.14914,0.86799,439,18,,-0.059,0.205
116,Senate,21501,61,0,AZ,200,,,"McSALLY, Martha",M001197,1966,,0.345,0.026,-29.4965,0.93789,460,11,,0.344,0.257
116,Senate,20101,42,0,AR,200,,,"BOOZMAN, John",B001236,1950,,0.4,0.247,-18.37914,0.96108,463,6,,0.345,0.235
116,Senate,21301,42,0,AR,200,,,"COTTON, Tom",C001095,1977,,0.577,0.103,-45.21373,0.90639,460,20,,0.438,0.046
116,Senate,41701,71,0,CA,100,,,"HARRIS, Kamala Devi",H001075,1964,,-0.709,-0.118,-14.62147,0.93788,228,5,,-0.725,-0.301
116,Senate,49300,71,0,CA,100,,,"FEINSTEIN, Dianne",F000062,1933,,-0.268,-0.2,-54.3534,0.88923,463,15,,-0.259,-0.109
116,Senate,21112,62,0,CO,200,,,"GARDNER, Cory",G000562,1974,,0.445,-0.021,-32.46484,0.93084,453,14,,0.34,0.084
116,Senate,40910,62,0,CO,100,,,"BENNET, Michael F.",B001267,1964,,-0.22,-0.155,-78.74744,0.79749,348,36,,-0.285,-0.156
116,Senate,20707,1,0,CT,100,,,"MURPHY, Christopher",M001169,1973,,-0.276,-0.194,-107.53007,0.79155,460,46,,-0.16,-0.309
116,Senate,41101,1,0,CT,100,,,"BLUMENTHAL, Richard",B001277,1946,,-0.43,-0.073,-62.85305,0.87229,460,29,,-0.451,0.008
116,Senate,15015,11,0,DE,100,,,"CARPER, Thomas Richard",C000174,1947,,-0.176,-0.23,-83.77489,0.8335,460,25,,-0.191,-0.321
116,Senate,40916,11,0,DE,100,,,"COONS, Christopher A.",C001088,1963,,-0.225,-0.222,-49.94277,0.89473,449,16,,-0.191,-0.261
116,Senate,41102,43,0,FL,200,,,"RUBIO, Marco",R000595,1971,,0.573,-0.273,-37.16442,0.92005,446,15,,0.543,-0.123
116,Senate,41903,43,0,FL,200,,,"SCOTT, Richard Lynn (Rick)",S001217,1952,,0.5,0.15,-34.4289,0.92619,449,20,,0.5,0.149
