congress,chamber,rollnumber,date,session,clerk_rollnumber,yea_count,nay_count,nominate_mid_1,nominate_mid_2,nominate_spread_1,nominate_spread_2,nominate_log_likelihood,bill_number,vote_result,vote_desc,vote_question,dtl_desc
112,Senate,456,2012-12-04,2,221,98,1,0.0,0.0,0.0,0.0,0.0,S3254,Bill Passed,"An original bill to authorize appropriations for fiscal year 2013 for military activities of the Department of Defense, for military construction, and for defense activities of the Department of Energy, to prescribe military personnel strengths for such fiscal year, and for other purposes.",On Passage of the Bill,
112,Senate,457,2012-12-05,2,222,73,23,0.236,0.777,0.261,0.371,-22.391,PN1341,Nomination Confirmed,"Michael P. Shea, of Connecticut, to be United States District Judge for the District of Connecticut",On the Nomination,
112,Senate,458,2012-12-06,2,223,93,4,-0.83,0.492,-1.73,-0.081,-11.751,HR6156,Bill Passed,"A bill to authorize the extension of nondiscriminatory treatment (normal trade relations treatment) to products of the Russian Federation and Moldova and to require reports on the compliance of the Russian Federation with its obligations as a member of the World Trade Organization, and for other purposes.",On Passage of the Bill,
112,Senate,459,2012-12-06,2,224,95,0,0.0,0.0,0.0,0.0,0.0,PN1383,Nomination Confirmed,"Mark E. Walker, of Florida, to be United States District Judge for the Northern District of Florida",On the Nomination,
112,Senate,460,2012-12-11,2,225,76,20,0.509,0.51,1.204,-0.596,-20.233,S3637,Cloture on the Motion to Proceed Agreed to,"A bill to temporarily extend the transaction account guarantee program, and for other purposes.",On Cloture on the Motion to Proceed,
112,Senate,461,2012-12-11,2,226,96,0,0.0,0.0,0.0,0.0,0.0,PN1405,Nomination Confirmed,"John E. Dowdell, of Oklahoma, to be United States District Judge for the Northern District of Oklahoma",On the Nomination,
112,Senate,462,2012-12-13,2,227,51,42,0.28,0.714,0.287,-0.331,-11.854,S3637,Motion Rejected,"A bill to temporarily extend the transaction account guarantee program, and for other purposes.",On the Motion,
112,Senate,463,2012-12-13,2,228,92,0,0.0,0.0,0.0,0.0,0.0,PN1556,Nomination Confirmed,"Lorna G. Schofield, of New York, to be United States District Judge for the Southern District of New York",On the Nomination,
112,Senate,464,2012-12-21,2,229,81,14,0.835,0.401,0.149,-0.146,-34.493,HR4310,Conference Report Agreed to,"To authorize appropriations for fiscal year 2013 for military activities of the Department of Defense, for military construction, and for defense activities of the Department of Energy, to prescribe military personnel strengths for such fiscal year, and for other purposes.",On the Conference Report,
112,Senate,465,2012-12-21,2,230,91,1,0.0,0.0,0.0,0.0,0.0,HR1,Cloture Motion Agreed to,In the nature of a substitute.,On the Cloture Motion,
112,Senate,466,2012-12-21,2,231,57,34,0.063,-0.445,0.381,-0.763,-10.536,HR1,Motion Rejected,In the nature of a substitute.,On the Motion,
112,Senate,467,2012-12-27,2,232,38,52,-0.224,-0.919,0.174,-0.077,-32.292,HR5949,Amendment Rejected,In the nature of a substitute.,On the Amendment,
112,Senate,468,2012-12-27,2,233,37,54,-0.149,-0.244,0.118,0.059,-38.98,HR5949,Amendment Rejected,"To require the Attorney General to disclose each decision, order, or opinion of a Foreign Intelligence Surveillance Court that includes significant legal interpretation of section 501 or 702 of the Foreign Intelligence Surveillance Act of 1978 unless such disclosure is not in the national security interest of the United States.",On the Amendment,
112,Senate,469,2012-12-27,2,234,12,79,-0.419,-0.811,0.099,0.221,-32.336,HR5949,Amendment Rejected,To ensure adequate protection of the rights under the Fourth Amendment to the Constitution of the United States.,On the Amendment,
112,Senate,470,2012-12-28,2,235,43,52,-0.172,0.985,0.128,0.057,-44.553,HR5949,Amendment Rejected,To require a report on the impact of the FISA Amendments Act of 2008 on the privacy of the people of the United States.,On the Amendment,
112,Senate,471,2012-12-28,2,236,74,23,-0.503,0.864,-0.222,-0.192,-38.265,HR5949,Bill Passed,A bill to extend the FISA Amendments Act of 2008 for five years.,On Passage of the Bill,
112,Senate,472,2012-12-28,2,237,52,43,-0.013,0.566,0.21,0.186,-19.058,HR1,Amendment Rejected,To provide for the approval of an agreement between the United States and the Republic of Palau in response to Super Typhoon Bopha.,On the Amendment,
112,Senate,473,2012-12-28,2,238,51,44,0.099,0.995,0.303,-0.028,-10.771,HR1,Motion Rejected,To provide additional funds for wildland fire management.,On the Motion,
112,Senate,474,2012-12-28,2,239,44,51,-0.208,-0.792,-0.561,1.085,-4.702,HR1,Amendment Rejected,To clarify cost-sharing requirements for certain Corps of Engineers activities.,On the Amendment,
112,Senate,475,2012-12-28,2,240,35,60,0.122,-0.914,-0.189,0.141,-26.661,HR1,Amendment Rejected,"To ensure funding for victims of Hurricane Sandy is not spent on tax cheats, deceased individuals, or fisheries outside of the affected area.",On the Amendment,
112,Senate,476,2012-12-28,2,241,40,55,0.201,0.835,-0.146,0.024,-36.206,HR1,Amendment Rejected,"To ensure that Federal disaster assistance is available for the most severe disasters, and for other purposes.",On the Amendment,
112,Senate,477,2012-12-28,2,242,48,47,-0.043,-0.587,-0.138,0.053,-36.356,HR1,Amendment Rejected,To require merit-based and competitive awards of disaster recovery contracts.,On the Amendment,
112,Senate,478,2012-12-28,2,243,42,52,0.185,0.028,-0.95,1.281,-7.059,HR1,Amendment Rejected,To provide for the nonapplication of the Davis-Bacon Act in the case of projects funded under this Act.,On the Amendment,
112,Senate,479,2012-12-28,2,244,3,91,0.788,-0.208,-0.471,1.468,-3.679,HR1,Amendment Rejected,To offset the cost of the bill and to put the spending on budget as regular spending and not emergency.,On the Amendment,
112,Senate,480,2012-12-28,2,245,46,49,-0.0,-0.487,-1.38,0.43,-12.257,HR1,Amendment Rejected,To strike funding for the emergency forest restoration program.,On the Amendment,
112,Senate,481,2012-12-28,2,246,55,40,0.215,-0.047,0.528,-0.921,-9.723,HR1,Motion Rejected,To extend certain supplemental agriculture disaster assistance programs.,On the Motion,
112,Senate,482,2012-12-28,2,247,41,54,0.169,-0.198,-0.734,-0.156,-25.562,HR1,Amendment Rejected,In the nature of a substitute.,On the Amendment,
112,Senate,483,2012-12-28,2,248,63,32,0.268,-0.478,0.981,-0.74,-16.507,HR1,Bill Passed,"An act making appropriations for disaster relief for the fiscal year ending September 30, 2013, and for other purposes.",On Passage of the Bill,
112,Senate,484,2012-12-30,2,249,65,26,-0.129,0.936,0.261,0.708,-18.906,PN1354,Nomination Confirmed,"William Joseph Baer, of Maryland, to be an Assistant Attorney General",On the Nomination,
112,Senate,485,2012-12-30,2,250,70,24,0.207,0.876,0.239,0.312,-22.02,PN1064,Nomination Confirmed,"Carol J. Galante, of California, to be an Assistant Secretary of Housing and Urban Development",On the Nomination,
112,Senate,486,2013-01-01,2,251,90,8,0.803,0.263,0.173,-0.092,-24.711,HR8,Bill Passed,"An act entitled the ""American Taxpayer Relief Act of 2012"".",On Passage of the Bill,
