congress,chamber,rollnumber,date,session,clerk_rollnumber,yea_count,nay_count,nominate_mid_1,nominate_mid_2,nominate_spread_1,nominate_spread_2,nominate_log_likelihood,bill_number,vote_result,vote_desc,vote_question,dtl_desc
116,Senate,44,2019-03-13,1,44,53,46,0.042,-0.104,-0.672,0.595,-0.181,PN247,Nomination Confirmed,"Neomi J. Rao, of the District of Columbia, to be United States Circuit Judge for the District of Columbia Circuit",On the Nomination,
116,Senate,45,2019-03-13,1,45,55,43,-0.076,0.007,-0.684,-0.472,-2.368,PN171,Cloture Motion Agreed to,"William Beach, of Kansas, to be Commissioner of Labor Statistics, Department of Labor, for a term of four years",On the Cloture Motion,
116,Senate,46,2019-03-13,1,46,55,44,-0.076,0.009,-0.685,-0.47,-2.368,PN171,Nomination Confirmed,"William Beach, of Kansas, to be Commissioner of Labor Statistics, Department of Labor, for a term of four years",On the Nomination,
116,Senate,47,2019-03-13,1,47,52,48,-0.193,0.981,0.239,0.405,-18.86,SJRES7,Motion to Table Agreed to,"To provide an exception for supporting efforts to defend against ballistic missile, cruise missile, and unmanned aerial vehicle threats to civilian population centers in coalition countries, including locations where citizens and nationals of the United States reside.",On the Motion to Table,
116,Senate,48,2019-03-13,1,48,54,46,-0.229,0.973,0.317,0.747,-17.055,SJRES7,Joint Resolution Passed,A joint resolution to direct the removal of United States Armed Forces from hostilities in the Republic of Yemen that have not been authorized by Congress.,On the Joint Resolution,
116,Senate,49,2019-03-14,1,49,59,41,-0.199,0.98,0.699,1.905,-27.391,HJRES46,Joint Resolution Passed,"A joint resolution relating to a national emergency declared by the President on February 15, 2019.",On the Joint Resolution,
116,Senate,50,2019-03-25,1,50,77,20,-0.228,-0.974,-0.302,-0.268,-20.888,PN213,Cloture Motion Agreed to,"Bridget S. Bade, of Arizona, to be United States Circuit Judge for the Ninth Circuit",On the Cloture Motion,
116,Senate,51,2019-03-26,1,51,78,21,-0.229,-0.973,-0.306,-0.27,-20.876,PN213,Nomination Confirmed,"Bridget S. Bade, of Arizona, to be United States Circuit Judge for the Ninth Circuit",On the Nomination,
116,Senate,52,2019-03-26,1,52,0,57,0.0,0.0,0.0,0.0,0.0,SJRES8,Cloture Motion Rejected,A joint resolution recognizing the duty of the Federal Government to create a Green New Deal.,On the Cloture Motion,
116,Senate,53,2019-03-26,1,53,90,10,0.445,0.896,0.385,0.537,-16.008,HR268,Cloture Motion Agreed to,"A bill making supplemental appropriations for the fiscal year ending September 30, 2019, and for other purposes.",On the Cloture Motion,
116,Senate,54,2019-03-28,1,54,95,1,0.0,0.0,0.0,0.0,0.0,PN2,Nomination Confirmed,"Nicole R. Nason, of New York, to be Administrator of the Federal Highway Administration",On the Nomination,
116,Senate,55,2019-04-01,1,55,44,49,-0.258,-0.966,-0.27,0.484,-18.835,HR268,Cloture Motion Rejected,In the nature of a substitute.,On the Cloture Motion,
116,Senate,56,2019-04-01,1,56,46,48,0.043,-0.103,0.671,-0.597,-0.181,HR268,Cloture Motion Rejected,"A bill making supplemental appropriations for the fiscal year ending September 30, 2019, and for other purposes.",On the Cloture Motion,
116,Senate,57,2019-04-02,1,57,51,48,-0.114,0.993,-0.302,-0.336,-10.077,SRES50,Cloture on the Motion to Proceed Rejected,A resolution improving procedures for the consideration of nominations in the Senate.,On Cloture on the Motion to Proceed,
116,Senate,58,2019-04-03,1,58,95,3,-0.739,0.573,-1.092,-0.886,-5.128,PN92,Cloture Motion Agreed to,"Jeffrey Kessler, of Virginia, to be an Assistant Secretary of Commerce",On the Cloture Motion,
116,Senate,59,2019-04-03,1,59,48,51,-0.19,0.982,0.469,0.747,-5.61,PN92,Decision of Chair Not Sustained,"Jeffrey Kessler, of Virginia, to be an Assistant Secretary of Commerce",On the Decision of the Chair,
116,Senate,60,2019-04-03,1,60,66,33,-0.556,0.831,-0.496,-0.948,-19.984,PN211,Cloture Motion Agreed to,"Roy Kalman Altman, of Florida, to be United States District Judge for the Southern District of Florida",On the Cloture Motion,
116,Senate,61,2019-04-03,1,61,48,51,-0.19,0.982,0.473,0.754,-5.61,PN211,Decision of Chair Not Sustained,"Roy Kalman Altman, of Florida, to be United States District Judge for the Southern District of Florida",On the Decision of the Chair,
116,Senate,62,2019-04-04,1,62,66,33,-0.532,0.609,-0.493,-1.154,-18.037,PN211,Nomination Confirmed,"Roy Kalman Altman, of Florida, to be United States District Judge for the Southern District of Florida",On the Nomination,
116,Senate,63,2019-04-04,1,63,53,46,0.043,-0.104,-0.672,0.594,-0.181,PN1,Cloture Motion Agreed to,"Mark Anthony Calabria, of Virginia, to be Director of the Federal Housing Finance Agency for a term of five years",On the Cloture Motion,
116,Senate,64,2019-04-04,1,64,52,44,0.043,-0.104,-0.672,0.594,-0.181,PN1,Nomination Confirmed,"Mark Anthony Calabria, of Virginia, to be Director of the Federal Housing Finance Agency for a term of five years",On the Nomination,
116,Senate,65,2019-04-09,1,65,55,42,-0.143,0.059,-0.682,-0.488,-4.514,PN228,Cloture Motion Agreed to,"Daniel Desmond Domenico, of Colorado, to be United States District Judge for the District of Colorado",On the Cloture Motion,
116,Senate,66,2019-04-09,1,66,57,42,-0.143,0.062,-0.683,-0.482,-4.524,PN228,Nomination Confirmed,"Daniel Desmond Domenico, of Colorado, to be United States District Judge for the District of Colorado",On the Nomination,
