congress,chamber,rollnumber,date,session,clerk_rollnumber,yea_count,nay_count,nominate_mid_1,nominate_mid_2,nominate_spread_1,nominate_spread_2,nominate_log_likelihood,bill_number,vote_result,vote_desc,vote_question,dtl_desc
116,Senate,125,2019-05-22,1,125,55,43,-0.108,0.024,-0.661,-0.626,-1.868,PN243,Nomination Confirmed,"Carl J. Nichols, of the District of Columbia, to be United States District Judge for the District of Columbia",On the Nomination,
116,Senate,126,2019-05-22,1,126,55,43,-0.108,0.024,-0.661,-0.626,-1.868,PN218,Nomination Confirmed,"Kenneth D. Bell, of North Carolina, to be United States District Judge for the Western District of North Carolina",On the Nomination,
116,Senate,127,2019-05-23,1,127,97,1,0.0,0.0,0.0,0.0,0.0,S151,Bill Passed,"A bill to deter criminal robocall violations and improve enforcement of section 227(b) of the Communications Act of 1934, and for other purposes.",On Passage of the Bill,
116,Senate,128,2019-05-23,1,128,84,9,0.565,0.323,0.221,0.629,-16.019,HR2157,Motion Agreed to,"A bill making supplemental appropriations for the fiscal year ending September 30, 2019, and for other purposes.",On the Motion,
116,Senate,129,2019-05-23,1,129,85,8,0.021,1.0,0.151,0.845,-15.624,HR2157,Bill Passed,"A bill making supplemental appropriations for the fiscal year ending September 30, 2019, and for other purposes.",On Passage of the Bill,
116,Senate,130,2019-06-03,1,130,22,69,0.616,-0.277,-0.289,-0.512,-22.777,S1332,Cloture on the Motion to Proceed Rejected,A bill to set forth the congressional budget for the United States Government for fiscal year 2020 and setting forth the appropriate budgetary levels for fiscal years 2021 through 2029.,On Cloture on the Motion to Proceed,
116,Senate,131,2019-06-03,1,131,74,17,-0.341,-0.94,-0.547,-0.056,-17.83,PN94,Cloture Motion Agreed to,"Andrew M. Saul, of New York, to be Commissioner of Social Security for the term expiring January 19, 2025",On the Cloture Motion,
116,Senate,132,2019-06-04,1,132,93,0,0.0,0.0,0.0,0.0,0.0,SRES212,Resolution Agreed to,"A resolution celebrating the 100th anniversary of the passage and ratification of the 19th Amendment, providing for women's suffrage, to the Constitution of the United States.",On the Resolution,
116,Senate,133,2019-06-04,1,133,77,16,-0.35,-0.937,-0.501,-0.038,-17.546,PN94,Nomination Confirmed,"Andrew M. Saul, of New York, to be Commissioner of Social Security for the term expiring January 19, 2025",On the Nomination,
116,Senate,134,2019-06-04,1,134,83,10,-0.541,-0.841,-1.003,0.919,-16.434,PN139,Cloture Motion Agreed to,"David Schenker, of New Jersey, to be an Assistant Secretary of State (Near Eastern Affairs)",On the Cloture Motion,
